kernel,coreF,memF,real,predict
BlackScholes,1012,715,1.190309,1.159531
BlackScholes,1202,715,1.046782,0.991874
BlackScholes,1328,715,1.000000,0.891236
BlackScholes,607,715,1.952502,1.591114
BlackScholes,810,715,1.472989,1.362996
SobolQRNG,1012,715,1.058068,1.215377
SobolQRNG,1202,715,1.018916,1.009034
SobolQRNG,1328,715,1.000000,0.881414
SobolQRNG,607,715,1.309520,1.718042
SobolQRNG,810,715,1.127485,1.456150
backpropBackward,1012,715,1.077255,1.332907
backpropBackward,1202,715,1.022112,1.209057
backpropBackward,1328,715,1.000000,1.138675
backpropBackward,607,715,1.280241,1.669373
backpropBackward,810,715,1.189653,1.488428
backpropForward,1012,715,1.299444,1.325959
backpropForward,1202,715,1.095983,1.093025
backpropForward,1328,715,1.000000,0.948164
backpropForward,607,715,2.155713,1.882309
backpropForward,810,715,1.622545,1.593205
cfd,1012,715,1.039458,1.003337
cfd,1202,715,1.013153,0.955702
cfd,1328,715,1.000000,0.935749
cfd,607,715,1.154583,1.177596
cfd,810,715,1.109686,1.077571
conjugateGradient,1012,715,1.233185,1.266867
conjugateGradient,1202,715,1.076027,1.088293
conjugateGradient,1328,715,1.000000,0.979704
conjugateGradient,607,715,2.049751,1.693783
conjugateGradient,810,715,1.537417,1.472608
convolutionSeparable,1012,715,1.275649,1.272925
convolutionSeparable,1202,715,1.078116,1.064867
convolutionSeparable,1328,715,1.000000,0.938937
convolutionSeparable,607,715,2.113561,1.782911
convolutionSeparable,810,715,1.591104,1.516164
convolutionTexture,1012,715,1.223867,1.066619
convolutionTexture,1202,715,1.066858,0.944074
convolutionTexture,1328,715,1.000000,0.873792
convolutionTexture,607,715,1.894061,1.394147
convolutionTexture,810,715,1.454719,1.218511
dxtc,1012,715,1.013942,1.052343
dxtc,1202,715,1.006721,0.954919
dxtc,1328,715,1.000000,0.901097
dxtc,607,715,1.060413,1.326284
dxtc,810,715,1.049260,1.177922
fastWalshTransform,1012,715,0.990606,1.084767
fastWalshTransform,1202,715,0.996960,0.963818
fastWalshTransform,1328,715,1.000000,0.894959
fastWalshTransform,607,715,0.990706,1.407643
fastWalshTransform,810,715,0.990407,1.235114
gaussian,1012,715,1.270256,1.173535
gaussian,1202,715,1.087176,1.125593
gaussian,1328,715,1.000000,1.107108
gaussian,607,715,1.896230,1.362401
gaussian,810,715,1.433066,1.254173
histogram,1012,715,1.228022,1.263400
histogram,1202,715,1.083327,1.011675
histogram,1328,715,1.000000,0.856735
histogram,607,715,2.025379,1.865966
histogram,810,715,1.526856,1.551174
hotspot,1012,715,1.297401,1.269775
hotspot,1202,715,1.095218,1.022230
hotspot,1328,715,1.000000,0.866413
hotspot,607,715,2.157198,1.847775
hotspot,810,715,1.621043,1.549404
matrixMulShared,1012,715,1.284558,1.536888
matrixMulShared,1202,715,1.084835,1.275102
matrixMulShared,1328,715,1.000000,1.113351
matrixMulShared,607,715,2.103844,2.166019
matrixMulShared,810,715,1.595438,1.838919
mergeSort,1012,715,1.297670,1.561012
mergeSort,1202,715,1.096141,1.266875
mergeSort,1328,715,1.000000,1.083140
mergeSort,607,715,2.153316,2.259311
mergeSort,810,715,1.619398,1.897132
nn,1012,715,0.997627,1.188731
nn,1202,715,0.997951,1.029133
nn,1328,715,1.000000,0.933976
nn,607,715,1.259034,1.591694
nn,810,715,1.020494,1.379301
pathfinder,1012,715,1.298892,1.391527
pathfinder,1202,715,1.094883,1.170410
pathfinder,1328,715,1.000000,1.036756
pathfinder,607,715,2.150343,1.900347
pathfinder,810,715,1.619936,1.637087
scalarProd,1012,715,1.110878,1.177391
scalarProd,1202,715,1.025172,1.099498
scalarProd,1328,715,1.000000,1.059806
scalarProd,607,715,1.601659,1.412335
scalarProd,810,715,1.300524,1.283684
scanScanExclusiveShared,1012,715,1.298333,1.157306
scanScanExclusiveShared,1202,715,1.094641,1.017710
scanScanExclusiveShared,1328,715,1.000000,0.934601
scanScanExclusiveShared,607,715,2.154463,1.509944
scanScanExclusiveShared,810,715,1.620657,1.326354
scanUniformUpdate,1012,715,0.990542,0.880276
scanUniformUpdate,1202,715,0.996807,0.818456
scanUniformUpdate,1328,715,1.000000,0.783420
scanUniformUpdate,607,715,0.990944,1.093241
scanUniformUpdate,810,715,0.989819,0.977977
sortingNetworks,1012,715,1.297730,1.493233
sortingNetworks,1202,715,1.095553,1.233306
sortingNetworks,1328,715,1.000000,1.071616
sortingNetworks,607,715,2.155730,2.113423
sortingNetworks,810,715,1.618282,1.791105
srad,1012,715,1.290973,1.204661
srad,1202,715,1.091658,1.042931
srad,1328,715,1.000000,0.948744
srad,607,715,2.137552,1.617543
srad,810,715,1.606962,1.400172
transpose,1012,715,1.166494,1.238491
transpose,1202,715,1.042399,1.064883
transpose,1328,715,1.000000,0.961854
transpose,607,715,1.840463,1.663849
transpose,810,715,1.403027,1.442621
vectorAdd,1012,715,0.991100,1.059558
vectorAdd,1202,715,0.996577,0.947826
vectorAdd,1328,715,1.000000,0.887956
vectorAdd,607,715,0.990895,1.360187
vectorAdd,810,715,0.981721,1.198401
average,0.111104